id,name,email,organization_id,role,active,notes,group,api_subscription,employee_id,promotion_code,tags
7524917807,Jennifer Hansen - CE,jhansen@example.com,10838812608,admin,True,Likes emojis 😊,Advanced Support - CE,plan_gold,,doloratdoloremque,[]
7858057707,Kate Hoffman - CE,katehoffman7@example.com,2208998928,admin,True,,Tier 2 Support - CE,plan_gold,,ullaminventorefuga,[]
7858067547,Anna Dalby - CE,anna.dalby1@example.com,6894522008,end-user,True,,,plan_gold,,velquasvel,"['subscription_silver', 'product_a', 'chef_dequipe', 'plan_gold', 'no_csat']"
7858071167,Aubrey Kaine - CE,aubreykaine00@example.com,10838798148,agent,True,,Sales - CE,plan_silver,,natusmolestiasea,[]
7858083167,Francis Kind - CE,franciskind.zen@example.com,10838814908,agent,True,,Advanced Support - CE,plan_gold,,nobisconsecteturenim,[]
7858096207,Bunk Moreland - CE,bunkmoreland410@example.com,10778642047,admin,True,,Product Support - CE,plan_gold,,nisiquodperspiciatis,[]
7858111247,Lester Freamon - CE,lazendesk@example.com,15976972808,admin,True,,Product Support - CE,plan_silver,,etplaceatcupiditate,[]
7858119547,Marlo Stanfield - CE,ceenduser@example.com,15622168627,end-user,True,,,plan_gold,15,expeditaaliquidipsa,"['gold', 'paid', 'san_francisco', 'co-op', 'vip']"
7858174327,Emma Lee - CE,fakecustomer1234@example.com,10789859667,end-user,True,,,plan_bronze,12345,eainventorevoluptas,"['plan_gold', 'vip_user', 'no_csat']"
7929155048,Shirin Poeplinghaus - CE,lucywalsh.zendesk@example.com,10778652467,agent,True,,Tier 1 Support - CE,plan_bronze,,explicabodebitisea,['tier1_support']
7929180588,Jimmy McNulty - CE,jmcnulty410@example.com,10838808228,end-user,True,,,plan_bronze,,maximeabquibusdam,"['vip_user', 'emea', 'plan_silver', 'resigned']"
8129791828,Jennifer Hansen - CE,fakeagent548@example.com,10778648407,agent,True,,Advanced Support - CE,plan_bronze,,laboresolutapariatur,['vip_customer']
11321745068,Lisa Roth - CE,lrothrauff@example.com,"['10838833168', '10789859667']",admin,True,,Product Support - CE,plan_gold,,illoomnisnisi,[]
12946394628,Sample customer,customer@example.com,15976972688,end-user,True,,,plan_silver,,remsaepefugiat,[]
13618422767,Em Cino - CE,franciskind.zen+01@example.com,15976972808,agent,True,,Product Support - CE,plan_silver,,assumendaconsequaturdicta,[]
15462603267,Samira Miller - CE,samira@example.com,10778617287,agent,True,,Tier 1 Support - CE,plan_bronze,,vitaeasunt,[]
16255518428,Karen Biscopink - CE,kbiscopink@example.com,10838806168,admin,True,,Product Support - CE,plan_bronze,,sequiistedicta,[]
16306259928,Robert,franciskind.zen+1@example.com,3535325388,admin,True,,Advanced Support - CE,plan_silver,,namlaborepariatur,[]
17257677007,Jen Doe - CE,fakecustomer2016@example.com,15976972648,end-user,True,,,plan_gold,123456789,inventoreveroprovident,['plan_silver']
18025059467,Charles Nadeau - CE,cnadeau@example.com,10838829148,admin,True,,Product Support - CE,plan_bronze,,veniamfacereea,[]
18093484988,Laduma Nguyuza,laduma@example.com,2208998938,admin,True,,Product Support - CE,plan_bronze,,dictalaborumconsequatur,[]
18163710208,Fred Flora - CE,fredflora@example.com,"['10838833248', '10778642047', '10838806168']",end-user,True,,,plan_gold,,expeditasimiliqueneque,"['plan_gold', 'no_csat']"
18730775647,Jackson Davis - CE,jdavis@example.com,10778619527,agent,True,,Product Support - CE,plan_bronze,,errorrationequaerat,[]
22214309548,Megan Browning - CE,mbrowning@example.com,10838829148,admin,True,,Product Support - CE,plan_bronze,,eumfacerequisquam,[]
22301486087,Mark Banuelos - CE,mbanuelos@example.com,10838831148,agent,True,,Product Support - CE,plan_bronze,,eaqueconsequunturatque,[]
22407851608,Clark Green - CE,clarkgreen123@example.com,2371912888,admin,True,,Product Support - CE,plan_gold,,remquodrepellat,[]
22983923328,Nick Lopez,nicklopez123123@example.com,10838798008,end-user,True,,,plan_gold,,mollitiacorruptitemporibus,"['plan_silver', 'vip']"
23783206948,Alexander Migale - CE,agm.zendesk@example.com,10838810308,admin,True,,Tier 1 Support - CE,plan_silver,,harumblanditiisconsectetur,"['sales', 'training']"
24410956807,Beatrix Abbott - CE,mbrowning+ba@example.com,10838839568,admin,True,,Product Support - CE,plan_silver,,perspiciatisperspiciatisprovident,[]
24495693028,Cruz Smith - CE,mbrowning+cs@example.com,10778615267,agent,True,,Product Support - CE,plan_bronze,,quaerecusandaedolorum,[]
